"Nest","NestSize","ScaledX","ScaledY","CoordID"
"Tube","Small",4,0.001,1
"Tube","Small",3.54,1.25,2
"Tube","Small",2.351,0.85,3
"Tube","Small",1.9,2,4
"Tube","Small",3.245,2.5,5
"Tube","Small",4.476,2.5,6
"Tube","Small",5.75,2,7
"Tube","Small",5.35,0.85,8
"Tube","Small",4.139,1.25,9
"Tube","Large",4.05,0.001,1
"Tube","Large",3.512,1.86,2
"Tube","Large",1.772,1.345,3
"Tube","Large",1.225,3,4
"Tube","Large",3.036,3.6,5
"Tube","Large",4.776,3.6,6
"Tube","Large",6.6,3,7
"Tube","Large",6,1.345,8
"Tube","Large",4.06,1.86,9
"Circle","Small",1.0138,0.436,1
"Circle","Small",1.2801,0.7023,2
"Circle","Small",1.4949,0.9171,3
"Circle","Small",1.6925,1.1147,4
"Circle","Small",1.8901,1.3123,5
"Circle","Small",2.1134,1.5356,6
"Circle","Small",2.354,1.7762,7
"Circle","Large",4.9886,0.7115,1
"Circle","Large",5.1857,1.0372,2
"Circle","Large",5.2886,1.3286,3
"Circle","Large",5.2886,1.6029,4
"Circle","Large",5.2971,1.8858,5
"Circle","Large",5.1943,2.1772,6
"Circle","Large",5.0057,2.5029,7
