"NestSize","Nest","Distance","Bin","BinX","BinY","Xmax","Ymax","MaxDist","TubeRatio"
"Large","Tube",0,1,3.86,0,6.6,1.5,11.68278,0.323098611803013
"Large","Tube",1.32445,2,3.62,1.30667,6.6,1.5,11.68278,0.323098611803013
"Large","Tube",3.1944,3,1.8,1.78667,6.6,1.5,11.68278,0.323098611803013
"Large","Tube",4.38773,4,1.8,3,6.6,1.5,11.68278,0.323098611803013
"Large","Tube",4.38773,5,1.8,3,6.6,1.5,11.68278,0.323098611803013
"Large","Tube",4.38773,6,1.8,3,6.6,1.5,11.68278,0.323098611803013
"Large","Tube",8.68775,7,6.11333,3.00667,6.6,1.5,11.68278,0.323098611803013
"Large","Tube",9.88775,8,6.11333,1.78667,6.6,1.5,11.68278,0.323098611803013
"Small","Tube",0,1,3.80667,0,5.80333,2.38667,7.90809,0.323098611803013
"Small","Tube",0.81857,2,3.61333,0.80667,5.80333,2.38667,7.90809,0.323098611803013
"Small","Tube",2.09297,3,2.4,1.18,5.80333,2.38667,7.90809,0.323098611803013
"Small","Tube",2.91299,4,2.4,2.01333,5.80333,2.38667,7.90809,0.323098611803013
"Small","Tube",2.91299,5,2.4,2.01333,5.80333,2.38667,7.90809,0.323098611803013
"Small","Tube",2.91299,6,2.4,2.01333,5.80333,2.38667,7.90809,0.323098611803013
"Small","Tube",5.91299,7,5.40667,2.00667,5.80333,2.38667,7.90809,0.323098611803013
"Small","Tube",6.70805,8,5.41333,1.18,5.80333,2.38667,7.90809,0.323098611803013
"Large","Circle",0,1,3.75,0,5.203,2.906,11.68278,0.323098611803013
"Large","Circle",0,2,3.75,0,5.203,2.906,11.68278,0.323098611803013
"Large","Circle",0,3,3.75,0,5.203,2.906,11.68278,0.323098611803013
"Large","Circle",0,4,3.75,0,5.203,2.906,11.68278,0.323098611803013
"Large","Circle",0,5,3.75,0,5.203,2.906,11.68278,0.323098611803013
"Large","Circle",0,6,3.75,0,5.203,2.906,11.68278,0.323098611803013
"Large","Circle",0,7,3.75,0,5.203,2.906,11.68278,0.323098611803013
"Large","Circle",0,8,3.75,0,5.203,2.906,11.68278,0.323098611803013
"Small","Circle",0,1,3.75,0,4.777,2.054,7.90809,0.323098611803013
"Small","Circle",0,2,3.75,0,4.777,2.054,7.90809,0.323098611803013
"Small","Circle",0,3,3.75,0,4.777,2.054,7.90809,0.323098611803013
"Small","Circle",0,4,3.75,0,4.777,2.054,7.90809,0.323098611803013
"Small","Circle",0,5,3.75,0,4.777,2.054,7.90809,0.323098611803013
"Small","Circle",0,6,3.75,0,4.777,2.054,7.90809,0.323098611803013
"Small","Circle",0,7,3.75,0,4.777,2.054,7.90809,0.323098611803013
"Small","Circle",0,8,3.75,0,4.777,2.054,7.90809,0.323098611803013
